timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1577995493131,1610,get,200,OK,Group list 1-11,text,true,,13895,493,15,45,http://192.168.56.101/group.php,1427,0,0
1577995493646,1478,get,200,OK,Group list 1-3,text,true,,13894,493,16,48,http://192.168.56.101/group.php,1283,0,0
1577995493865,1365,get,200,OK,Group list 1-15,text,true,,13898,493,16,48,http://192.168.56.101/group.php,1246,0,1
1577995493147,2101,get,200,OK,Group list 1-5,text,true,,13892,493,16,48,http://192.168.56.101/group.php,1715,0,0
1577995493807,1449,get,200,OK,Group list 1-2,text,true,,13898,493,16,48,http://192.168.56.101/group.php,1103,0,0
1577995494074,1321,get,200,OK,Group list 1-6,text,true,,13915,493,16,48,http://192.168.56.101/group.php,1126,0,1
1577995494203,1251,get,200,OK,Group list 1-13,text,true,,13927,493,16,48,http://192.168.56.101/group.php,1250,0,1
1577995493770,1810,get,200,OK,Group list 1-4,text,true,,13895,493,16,48,http://192.168.56.101/group.php,1661,0,0
1577995493901,1792,get,200,OK,Group list 1-9,text,true,,13941,493,16,48,http://192.168.56.101/group.php,1413,0,0
1577995494234,1507,get,200,OK,Group list 1-10,text,true,,13932,493,16,48,http://192.168.56.101/group.php,1105,0,0
1577995494126,1706,get,200,OK,Group list 1-12,text,true,,13941,493,16,48,http://192.168.56.101/group.php,1410,0,0
1577995494332,1602,get,200,OK,Group list 1-14,text,true,,13946,493,17,51,http://192.168.56.101/group.php,1366,0,0
1577995494498,1505,get,200,OK,Group list 1-8,text,true,,13939,493,17,51,http://192.168.56.101/group.php,1504,0,0
1577995494505,1518,get,200,OK,Group list 1-7,text,true,,13952,493,17,51,http://192.168.56.101/group.php,1201,0,1
1577995494515,1879,get,200,OK,Group list 1-1,text,true,,13992,493,17,51,http://192.168.56.101/group.php,1312,0,0
1577995494741,1769,get,200,OK,Group list 1-11,text,true,,13992,493,17,51,http://192.168.56.101/group.php,1177,0,0
1577995495256,1309,get,200,OK,Group list 1-2,text,true,,14019,493,17,51,http://192.168.56.101/group.php,1308,0,1
1577995495248,1432,get,200,OK,Group list 1-5,text,true,,14014,493,17,51,http://192.168.56.101/group.php,1201,0,1
1577995495230,1695,get,200,OK,Group list 1-15,text,true,,14028,493,18,53,http://192.168.56.101/group.php,1205,0,0
1577995495580,1404,get,200,OK,Group list 1-4,text,true,,14122,493,18,54,http://192.168.56.101/group.php,1184,0,1
1577995495693,1483,get,200,OK,Group list 1-9,text,true,,14140,493,18,54,http://192.168.56.101/group.php,1089,0,0
1577995495741,1513,get,200,OK,Group list 1-10,text,true,,14174,493,18,54,http://192.168.56.101/group.php,1512,0,0
1577995495125,2265,get,200,OK,Group list 1-3,text,true,,14043,493,18,54,http://192.168.56.101/group.php,1929,0,0
1577995495832,1592,get,200,OK,Group list 1-12,text,true,,14163,493,18,54,http://192.168.56.101/group.php,1198,0,0
1577995495396,2116,get,200,OK,Group list 1-6,text,true,,14139,493,18,54,http://192.168.56.101/group.php,1742,0,0
1577995496003,1560,get,200,OK,Group list 1-8,text,true,,14184,493,18,54,http://192.168.56.101/group.php,1202,0,1
1577995495865,1998,get,200,OK,Group list 1-17,text,true,,14179,493,18,54,http://192.168.56.101/group.php,1776,0,0
1577995495934,1955,get,200,OK,Group list 1-14,text,true,,14184,493,19,55,http://192.168.56.101/group.php,1545,0,1
1577995496023,1882,get,200,OK,Group list 1-7,text,true,,14239,493,19,55,http://192.168.56.101/group.php,1548,0,0
1577995494867,3322,get,200,OK,Group list 1-16,text,true,,13949,493,19,57,http://192.168.56.101/group.php,3084,0,1
1577995496510,1857,get,200,OK,Group list 1-11,text,true,,14294,493,19,57,http://192.168.56.101/group.php,1856,0,0
1577995496395,2061,get,200,OK,Group list 1-1,text,true,,14280,493,19,57,http://192.168.56.101/group.php,1818,0,0
1577995495454,3066,get,200,OK,Group list 1-13,text,true,,14174,493,19,57,http://192.168.56.101/group.php,2763,0,0
1577995496925,1628,get,200,OK,Group list 1-15,text,true,,14338,493,19,57,http://192.168.56.101/group.php,1185,0,0
1577995496565,2033,get,200,OK,Group list 1-2,text,true,,14337,493,19,57,http://192.168.56.101/group.php,2032,0,0
1577995496680,2071,get,200,OK,Group list 1-5,text,true,,14337,493,19,57,http://192.168.56.101/group.php,1562,0,0
1577995497512,1567,get,200,OK,Group list 1-6,text,true,,14420,493,20,60,http://192.168.56.101/group.php,1313,0,0
1577995497254,1951,get,200,OK,Group list 1-10,text,true,,14396,493,20,60,http://192.168.56.101/group.php,1622,0,1
1577995496984,2295,get,200,OK,Group list 1-4,text,true,,14371,493,20,60,http://192.168.56.101/group.php,2141,0,0
1577995496865,2486,get,200,OK,Group list 1-18,text,true,,14425,493,20,60,http://192.168.56.101/group.php,2286,0,1
1577995497563,2009,get,200,OK,Group list 1-8,text,true,,14447,493,20,60,http://192.168.56.101/group.php,1679,0,0
1577995497905,1684,get,200,OK,Group list 1-7,text,true,,14505,493,20,60,http://192.168.56.101/group.php,1683,0,0
1577995497176,2457,get,200,OK,Group list 1-9,text,true,,14404,493,20,60,http://192.168.56.101/group.php,1855,0,0
1577995497867,1833,get,200,OK,Group list 1-19,text,true,,14505,493,20,60,http://192.168.56.101/group.php,1363,0,0
1577995497390,2335,get,200,OK,Group list 1-3,text,true,,14471,493,20,60,http://192.168.56.101/group.php,2138,0,0
1577995498189,1615,get,200,OK,Group list 1-16,text,true,,14539,493,20,60,http://192.168.56.101/group.php,1353,0,1
1577995498520,1518,get,200,OK,Group list 1-13,text,true,,14568,493,21,63,http://192.168.56.101/group.php,1239,0,0
1577995498456,1587,get,200,OK,Group list 1-1,text,true,,14563,493,21,63,http://192.168.56.101/group.php,1125,0,1
1577995498367,1718,get,200,OK,Group list 1-11,text,true,,14554,493,21,63,http://192.168.56.101/group.php,1384,0,1
1577995497425,2727,get,200,OK,Group list 1-12,text,true,,14538,493,21,63,http://192.168.56.101/group.php,2463,0,0
1577995497889,2310,get,200,OK,Group list 1-14,text,true,,14521,493,21,63,http://192.168.56.101/group.php,2095,0,0
1577995497863,2419,get,200,OK,Group list 1-17,text,true,,14533,493,21,63,http://192.168.56.101/group.php,2007,0,0
1577995498865,1657,get,200,OK,Group list 1-20,text,true,,14706,493,21,63,http://192.168.56.101/group.php,1656,0,1
1577995498598,1957,get,200,OK,Group list 1-2,text,true,,14595,493,21,63,http://192.168.56.101/group.php,1821,0,1
1577995498751,1832,get,200,OK,Group list 1-5,text,true,,14613,493,21,63,http://192.168.56.101/group.php,1551,0,1
1577995499572,1474,get,200,OK,Group list 1-8,text,true,,14804,493,22,66,http://192.168.56.101/group.php,1473,0,0
1577995499279,1774,get,200,OK,Group list 1-4,text,true,,14762,493,22,66,http://192.168.56.101/group.php,1376,0,0
1577995498553,2516,get,200,OK,Group list 1-15,text,true,,14720,493,22,66,http://192.168.56.101/group.php,2022,0,0
1577995499351,1934,get,200,OK,Group list 1-18,text,true,,14774,493,22,66,http://192.168.56.101/group.php,1933,0,1
1577995499634,1727,get,200,OK,Group list 1-9,text,true,,14821,493,22,66,http://192.168.56.101/group.php,1726,0,0
1577995499079,2393,get,200,OK,Group list 1-6,text,true,,14756,493,22,66,http://192.168.56.101/group.php,2046,0,0
1577995499205,2748,get,200,OK,Group list 1-10,text,true,,14769,493,23,69,http://192.168.56.101/group.php,2191,0,0
1577995499725,2302,get,200,OK,Group list 1-3,text,true,,14899,493,23,69,http://192.168.56.101/group.php,2004,0,1
1577995499866,2201,get,200,OK,Group list 1-21,text,true,,14922,493,23,69,http://192.168.56.101/group.php,1927,0,1
1577995499804,2277,get,200,OK,Group list 1-16,text,true,,14938,493,23,69,http://192.168.56.101/group.php,1774,0,0
1577995499700,2502,get,200,OK,Group list 1-19,text,true,,14938,493,23,69,http://192.168.56.101/group.php,2501,0,0
1577995500085,2166,get,200,OK,Group list 1-11,text,true,,14901,493,23,69,http://192.168.56.101/group.php,1737,0,0
1577995500038,2250,get,200,OK,Group list 1-13,text,true,,14901,493,23,69,http://192.168.56.101/group.php,2039,0,0
1577995499589,2707,get,200,OK,Group list 1-7,text,true,,14929,493,23,69,http://192.168.56.101/group.php,2115,0,0
1577995500043,2286,get,200,OK,Group list 1-1,text,true,,14898,493,23,69,http://192.168.56.101/group.php,1844,0,0
